repo,instance_id,difficulty,rnd
django/django,django__django-12774,15 min - 1 hour,0.19086610417265754
sympy/sympy,sympy__sympy-19783,15 min - 1 hour,0.191357928507488
django/django,django__django-11532,15 min - 1 hour,0.197108816676071
sympy/sympy,sympy__sympy-17630,1-4 hours,0.19737655532652862
matplotlib/matplotlib,matplotlib__matplotlib-26291,15 min - 1 hour,0.20014980009896297
scikit-learn/scikit-learn,scikit-learn__scikit-learn-14496,<15 min fix,0.2036903116374158
django/django,django__django-16502,15 min - 1 hour,0.20473177934247178
pydata/xarray,pydata__xarray-6938,15 min - 1 hour,0.20554632602925962
django/django,django__django-15104,<15 min fix,0.20665509539823798
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25102,1-4 hours,0.20674564217975538
pytest-dev/pytest,pytest-dev__pytest-10051,15 min - 1 hour,0.2068596393279543
django/django,django__django-12713,15 min - 1 hour,0.207419402817009
django/django,django__django-13933,<15 min fix,0.20914989810169016
astropy/astropy,astropy__astropy-13398,1-4 hours,0.21327485772112975
matplotlib/matplotlib,matplotlib__matplotlib-26342,15 min - 1 hour,0.21367874051418032
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25747,15 min - 1 hour,0.21622112781343875
astropy/astropy,astropy__astropy-14995,<15 min fix,0.21673400815011032
astropy/astropy,astropy__astropy-14598,15 min - 1 hour,0.2214557196622078
sphinx-doc/sphinx,sphinx-doc__sphinx-10673,15 min - 1 hour,0.22328603753550758
sympy/sympy,sympy__sympy-24562,<15 min fix,0.22408505677756735
sympy/sympy,sympy__sympy-13852,1-4 hours,0.22750154799536762
django/django,django__django-14999,<15 min fix,0.22986601496037132
pylint-dev/pylint,pylint-dev__pylint-7080,15 min - 1 hour,0.2354693129136335
django/django,django__django-16256,15 min - 1 hour,0.2370591274411471
sphinx-doc/sphinx,sphinx-doc__sphinx-9698,<15 min fix,0.23775452414108053
sphinx-doc/sphinx,sphinx-doc__sphinx-9673,15 min - 1 hour,0.23784565900743432
django/django,django__django-16631,1-4 hours,0.23818609503434945
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13439,<15 min fix,0.23960419321134171
sympy/sympy,sympy__sympy-19495,<15 min fix,0.23966192533002104
django/django,django__django-15957,1-4 hours,0.2412876255816142
astropy/astropy,astropy__astropy-13236,15 min - 1 hour,0.24200917827077117
sphinx-doc/sphinx,sphinx-doc__sphinx-9602,15 min - 1 hour,0.24824551753294385
django/django,django__django-14787,<15 min fix,0.24908338837642555
django/django,django__django-16819,15 min - 1 hour,0.254606067164774
pytest-dev/pytest,pytest-dev__pytest-5787,1-4 hours,0.25762363206556715
astropy/astropy,astropy__astropy-13453,15 min - 1 hour,0.26032269094308863
django/django,django__django-14631,1-4 hours,0.2614066108157651
psf/requests,psf__requests-1921,<15 min fix,0.2669151201205793
django/django,django__django-15280,15 min - 1 hour,0.2694945158490075
django/django,django__django-13810,15 min - 1 hour,0.27375777223652625
django/django,django__django-12273,15 min - 1 hour,0.27553789072234236
scikit-learn/scikit-learn,scikit-learn__scikit-learn-10844,15 min - 1 hour,0.27765372021163504
django/django,django__django-11433,<15 min fix,0.2785437698659524
django/django,django__django-11133,<15 min fix,0.2805226171743596
django/django,django__django-12325,1-4 hours,0.281345035476734
django/django,django__django-16493,15 min - 1 hour,0.2849724555396581
matplotlib/matplotlib,matplotlib__matplotlib-23412,15 min - 1 hour,0.2856425457745989
django/django,django__django-12308,<15 min fix,0.28783173458268024
django/django,django__django-14170,15 min - 1 hour,0.28872115427001693
astropy/astropy,astropy__astropy-14539,15 min - 1 hour,0.2887399181845084
django/django,django__django-13112,<15 min fix,0.28897851522742785
django/django,django__django-13315,15 min - 1 hour,0.2890800294511362
pydata/xarray,pydata__xarray-6721,15 min - 1 hour,0.2985139133959832
django/django,django__django-15368,<15 min fix,0.30001777143137054
matplotlib/matplotlib,matplotlib__matplotlib-26208,<15 min fix,0.30192737352113636
django/django,django__django-11119,<15 min fix,0.3026257331886139
django/django,django__django-16454,15 min - 1 hour,0.3057841164123294
mwaskom/seaborn,mwaskom__seaborn-3187,15 min - 1 hour,0.307314685847103
django/django,django__django-15554,15 min - 1 hour,0.31019599517966323
sympy/sympy,sympy__sympy-20801,15 min - 1 hour,0.3105131777674113
django/django,django__django-11087,15 min - 1 hour,0.3157646242766105
pytest-dev/pytest,pytest-dev__pytest-6202,<15 min fix,0.31590361363693914
sympy/sympy,sympy__sympy-21379,15 min - 1 hour,0.3170932186529429
sympy/sympy,sympy__sympy-23534,<15 min fix,0.32080487145432507
astropy/astropy,astropy__astropy-14182,15 min - 1 hour,0.3212809915117141
django/django,django__django-14765,<15 min fix,0.32326687085961364
django/django,django__django-15161,15 min - 1 hour,0.3234161573351214
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26323,15 min - 1 hour,0.3239057669271195
django/django,django__django-11880,<15 min fix,0.3239756746761074
pydata/xarray,pydata__xarray-6461,<15 min fix,0.32607158837548567
django/django,django__django-11951,<15 min fix,0.32674453327853104
django/django,django__django-14771,15 min - 1 hour,0.3323437428367483
django/django,django__django-14011,1-4 hours,0.3328998525061076
sphinx-doc/sphinx,sphinx-doc__sphinx-8551,15 min - 1 hour,0.3330402184388003
django/django,django__django-16662,15 min - 1 hour,0.3353405647280234
django/django,django__django-13925,15 min - 1 hour,0.33616997837568735
sympy/sympy,sympy__sympy-13877,15 min - 1 hour,0.3408530026145971
django/django,django__django-13406,<15 min fix,0.3436069462221422
pydata/xarray,pydata__xarray-4966,15 min - 1 hour,0.3456237656979012
django/django,django__django-11999,15 min - 1 hour,0.3481455911336416
matplotlib/matplotlib,matplotlib__matplotlib-25332,<15 min fix,0.34857786397872076
django/django,django__django-11490,<15 min fix,0.35093467700268616
pytest-dev/pytest,pytest-dev__pytest-8399,15 min - 1 hour,0.35113153304544015
django/django,django__django-10973,15 min - 1 hour,0.35265488037499343
astropy/astropy,astropy__astropy-14365,15 min - 1 hour,0.3532942917745807
astropy/astropy,astropy__astropy-7166,<15 min fix,0.3566985588537611
django/django,django__django-11734,15 min - 1 hour,0.3577713818966132
django/django,django__django-15022,15 min - 1 hour,0.3640425271517184
pydata/xarray,pydata__xarray-4629,<15 min fix,0.3671107615415859
sympy/sympy,sympy__sympy-16792,15 min - 1 hour,0.36937943797514056
scikit-learn/scikit-learn,scikit-learn__scikit-learn-9288,15 min - 1 hour,0.37302101540880556
django/django,django__django-17084,15 min - 1 hour,0.3826504617804824
django/django,django__django-16612,15 min - 1 hour,0.39162157384146007
sympy/sympy,sympy__sympy-18211,15 min - 1 hour,0.3917855014697302
sphinx-doc/sphinx,sphinx-doc__sphinx-8475,<15 min fix,0.39398862054560607
scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232,<15 min fix,0.3940273324784814
sympy/sympy,sympy__sympy-18199,1-4 hours,0.39466422892902675
